Tweet_ID,Tweet_Text,Created_at,Tweet_Geo,User_Name,User_Location,Sentimento
1555479941202038784,"@NordestePatrio1 @RaquelBlak @jairbolsonaro Se o poste deu um pau no Bolsonaro em 2018, imagina o original. https://t.co/1AOHAlajKC",2022-08-05 09:04:52+00:00,,Sergio nascimento,,negativo
1555479876215390212,se o dia hoje for merda a culpa é literalmente do bolsonaro,2022-08-05 09:04:36+00:00,,edu ☆,ela/dela,negativo
1555479834134036480,@LulaOficial @verdadenarede Oh Lula ladrão nós  amamos o Bolsonaro mitoooo🇧🇷🇧🇷 .A inveja mata 😂😂😂😂,2022-08-05 09:04:26+00:00,,Virinha Fonseca,,positivo
1555479832812716032,"@BrazilFight Não PR   BOLSONARO.nao precisa  da.globolixo 
Já se.elegeu.sem ajuda deles.",2022-08-05 09:04:26+00:00,,Mary Puletti,"São Paulo, Brasil",positivo
1555479830837207050,"@soniaforabando @defconlevel4 @CamargoDireita @jairbolsonaro Olha a Fake News 🗣🙄
Se Bolsonaro apoia pilares fundamentais do Cristianismo como é que o Diabo vai estar no meio 🤦🏻‍♀️ 
Agora olha oq o seu amado Lula apoia, terreiro e camdoblé, tá na cara q isso não é ligado com Deus e sim com Diabo e demônios. 😙🤣",2022-08-05 09:04:25+00:00,,Isabela Ferreira Ribeiro,,positivo
1555479821173620739,@Imnot_Dogno BOLSONARO ARREGOU,2022-08-05 09:04:23+00:00,,Clauda Bordin,,negativo
1555479807319805953,@virgiliogomesd1 Banco do Brasil é o meu banco. E mesmo assim quero o Bolsonaro fora. Péssimo governo.,2022-08-05 09:04:20+00:00,,Oswaldo,,negativo
1555479791503015937,"@JoseMedeirosMT Isso é pura provocação. Querem testar a inteligência de bolsonaro. Acham que ele irá testar o mesmo para poderem impugnar a candidatura dele. Bolsonaro não precisa apelar, o povo está com ele.",2022-08-05 09:04:16+00:00,,Josadaque sales,,positivo
1555479770015612929,"@verdouglasgomes @ThiagoResiste #BolsonaroNaCadeia 
Esse BOZO merece : BOLSONARO NA JAULA.",2022-08-05 09:04:11+00:00,,Marta Espadon,,negativo
1555479726516572160,@movadvdireitabr @taoquei1 Seria bom que bolsonaro fosse dá entrevista em outra emissora no mesmo horário que a globo entrevistasse algum bandido que tbm concorre às eleições: a emissora que bolsonaro iria teria milhares de vezes mais audiênci.. 🤣🤣🤣,2022-08-05 09:04:00+00:00,,João Carvalho,"Bayeux, Brasil",positivo
